OBJECTID,Project_Na,Promoter_N,Project_Ty,Category,Commission,Share_of_t,Location,Increment,Peak_Incre,Descriptio,Website,Shape__Length,PCI_PMI,country,,
13,Green Octopus Mitteldeutschland,ONTRAS Gastransport GmbH and VNG Gasspeicher GmbH,Mix,Transmission,2026,No data available,Bad Lauchstaedt (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,"In this project H2 is produced by 35 MW electrolyser, which is directly connected to a wind farm. The pure H2 will be stored in a nearby salt cavern. H2 will be transported via repurposed natural gas pipeline connecting industrial end users.",https://www.ontras.com/en/hydrogen,60890.33658,No,DE,,
14,Green Octopus Mitteldeutschland,ONTRAS Gastransport GmbH and VNG Gasspeicher GmbH,Mix,Transmission,2027,No data available,Bad Lauchstaedt (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,"In this project H2 is produced by 35 MW electrolyser, which is directly connected to a wind farm. The pure H2 will be stored in a nearby salt cavern. H2 will be transported via repurposed natural gas pipeline connecting industrial end users.",https://www.ontras.com/en/hydrogen,76404.77364,No,DE,,
15,GETH2-IPCEI,Nowega GmbH,Mix,Transmission,2029,No data available,"Pipeline from Lingen via Osnabruck, Lehringen and Hannover to Salzgitter",No data available,No data available,Nowega will build a total of 210 km of H2 infrastructure between 2024 and 2026 to create a connection from Lingen to Marl. The further expansion of this network by 2030 is planned with 453 km and will enable a connection to Salzgitter.,https://www.get-h2.de/en/initiativeandvision/,549650.7859,No,DE,,
16,Giurgiu - Nodlac corridor modernization for hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2040,No data available,Giurgiu - Bibesti - Jupa - Horia - Nodlac,76.8,76.8,The project includes conversion of existing infrastructure of the Giurgiu - Podior - Bibeti - Jupa - Horia - Ndlac corridor (BRUA corridor) to transport H2.,https://www.transgaz.ro/en,767963.3173,No,RO,,
17,Green Octopus Mitteldeutschland,ONTRAS Gastransport GmbH and VNG Gasspeicher GmbH,Conversion of existing infrastructure,Transmission,2028,No data available,"H2-pipe between areas Salzgitter, Chemical Triangle and Leipzig (incl. link to H2 storage in Bad Lauchstaedt). DE H2 core grid differs between official project promoters & official contact parties. For further insight check website of FNB Gas.",No data available,No data available,Aiming to realize a H2-pipeline between two major industrial areas Salzgitter Flachstahl and Chemical Triangle of Central Germany and the Leipzig metropolitan area in combination with large-scale storage of hydrogen in Bad Lauchstadt,https://www.ontras.com/en/hydrogen,93752.43143,No,DE,,
19,H2 Readiness of the TAG pipeline system,TAG GmbH,Conversion of existing infrastructure,Transmission,2029,100,"Pipeline from the AT/IT Border (Arnoldstein) to AT/SK Border (Baumgarten, including a connection to the H2 Backbone WAG)","Forward flows: IT-AT - 168 GWh/d, AT-SK - 142 GWh/d. Reverse flows: AT - IT and SK -AT - 126 GWh/d.","Forward flows: IT-AT - 168 GWh/d, AT-SK - 142 GWh/d. Reverse flows: AT - IT and SK -AT - 126 GWh/d.",Goal of the project is to select one of the three existing pipelines in TAG's transmission system and repurpose it for pure H2 transport.,https://www.taggmbh.at/en/h2-readiness-en/,540420.447,PCI,AT,,
20,H2 transmission system in Bulgaria,Bulgartransgaz EAD,New,Transmission,2032,100,The pipeline between the region of Sofia and the Bulgarian-Greek border near Kulata.,No data available,No data available,The planned infrastructure includes a 250 km DN1000 pipeline with 2 compressor stations. The project is the first phase of new H2 transmission infrastructure in Bulgaria for 100% hydrogen allowing for expansion within the country to borders.,https://www.bulgartransgaz.bg/en,295342.6726,PCI,BG,,
23,HyBackbone,Fluxys Belgium and Pipelink,New,Transmission,2026 (+2030),No data available,Cluster Ghent-Antwerp (+NL connection),36 (+120),36 (+120),"In the HyBackbone project, Fluxys and Pipelink plan to build open acccess H2 pipeline infrastructure in the Antwerp cluster. The project is also connected to the national open access H2 infrastructure in BE.",https://www.fluxys.com/fr/company/fluxys-belgium,21598.75579,No,BE,,
24,HY-FEN H2 Corridor Spain France Germany connection,Natran,Mix,Transmission,2032,100,Development of the Fos-sur-Mer - Obergailbach hydrogen pipeline trajectory ,216,216,"HY-FEN project aims to develop a French H2 transmission network via pipeline connected to SP and DE and national storages by 2032. It will consist of existing assets converted to H2, and cover 1000 km of pipelines across FR.",https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/hyfen,1058604.04,PCI,FR,,
25,HY-FEN H2 Corridor Spain France Germany connection,Natran,Conversion of existing infrastructure,Transmission,2032,100,Cerville - Baldenheim - Marckolsheim,No data available,No data available,"HY-FEN project aims to develop a French H2 transmission network via pipeline connected to SP and DE and national storages by 2032. It will consist of existing assets converted to H2, and cover 1200 km of pipelines across FR.",https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/hyfen,200704.2511,PCI,FR,,
26,Franco-Belgian H2 corridor,Natran,New,Transmission,2034,100,"H2 transport network between FrancoBelgian Border, the Paris Area and the Grand Est Region",36,36,The first phase of this project is a network on the port of Dunkirk commissionned in 2032 andexpanding towards the Belgian border in 2034. ,https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/corridor-franco-belge,426915.5128,PCI,FR,,
27,Franco-Belgian H2 corridor,Natran,Mix,Transmission,2034,100,"H2 transport network between FrancoBelgian Border, the Paris Area and the Grand Est Region",48,48,"This interconnection between Belgium and France in Taisniere will Expand towards the Paris region and the Grand-Est region, serving road and air mobility.",https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/corridor-franco-belge,325999.5257,PCI,FR,,
28,Hynframed,Natran,New,Transmission,2030,100,Industrial port of Fos-sur-Mer,No data available,No data available,"The project aims to develop a H2 transmission network in the area of the industrial port of Fos-sur-Mer, in the vicinity of Marseille in the South of France, and a connection pipeline to Manosque underground storage.",https://www.natrangroupe.com/en/our-energy-transition/hydrogen-transport/hynframed,23691.421,No,FR,,
29,MosaHYc (Mosel Saar Hydrogen Conversion) - Germany,Natran (French side),Mix,Transmission,2029,100,Pipeline from Volklingen (Germany) over Carlingen and Bouzonville (France) to Perl and Dillingen (Germany),5.5,5.5,"MosaHYc project ( NaTran and CREOS). First phase of the project, by 2027, is 90km of which 70km are repurposed pipelines. During future phases, project will also extend into Luxemburg (project HY4link) & interconnect with NaTran’ HY-FEN project.",https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/mosahyc,168815.2427,PCI,FR,,
32,Nordic-Baltic Hydrogen Coridor - EE section,Elering AS,New,Transmission,2033,100,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://sites.google.com/view/nordic-baltic-hydrogencorridor/,366394.5063,PCI,EE,,
33,Nordic-Baltic Hydrogen Corridor - DE section,ONTRAS Gastransport GmbH,New,Transmission,2033,100,The project foresees the transport of green H2 from Baltic Sea countries to demand clusters along the corridor and to Central EU. The planned commissioning date of the NBHC is 2033.,200,200,"The NBHC is a hydrogen corridor from FI to DE via EE, LV, LT and PL. 
Together with section ID 87 it represents the DE part of the Nordic-Baltic Hydrogen Corridor (NBHC). The length of the DE part of the NBHC is 85.3 km (ID 87 and 33).",https://sites.google.com/view/nordic-baltic-hydrogencorridor/,10909.22879,PCI,DE,,
34,Doing Hydrogen,ONTRAS Gastransport GmbH,Mix,Transmission,2030,100,Germany (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,"The project brings together innovative producers, gas network operators and consumers with the aim of establishing a European H2 hub in eastern DE from 2026 and, in the medium term, a H2 system with links to PL, CZ, DK and western DE.",https://www.doinghydrogen.com/,106877.2913,No,DE,,
35,Doing Hydrogen,ONTRAS Gastransport GmbH,New,Transmission,2028,100,Germany (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,"The project brings together innovative producers, gas network operators and consumers with the aim of establishing a European H2 hub in eastern DE from 2026 and, in the medium term, a H2 system with links to PL, CZ, DK and western DE.",https://www.doinghydrogen.com/,292434.5299,No,DE,,
37,Doing Hydrogen,ONTRAS Gastransport GmbH,Conversion of existing infrastructure,Transmission,2027,100,Germany (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,"The project brings together innovative producers, gas network operators and consumers with the aim of establishing a European H2 hub in eastern DE from 2026 and, in the medium term, a H2 system with links to PL, CZ, DK and western DE.",https://www.doinghydrogen.com/,199233.9852,No,DE,,
39,Doing Hydrogen,ONTRAS Gastransport GmbH,New,Transmission,2032,100,Germany (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,"The project brings together innovative producers, gas network operators and consumers with the aim of establishing a European H2 hub in eastern DE from 2026 and, in the medium term, a H2 system with links to PL, CZ, DK and western DE.",https://www.doinghydrogen.com/,19132.22307,No,DE,,
40,Rostock - Wrangelsburg (Flow - making hydrogen happen),GASCADE Gastransport GmbH,New,Transmission,2028,100,"The Rostock - Wrangelsburg pipeline runs from Rostock through Mecklenburg-Vorpommern to Wrangelsburg, where it connects to the FLOW (East) project.",19,19,"The project connects a hydrogen reception terminal and other hydrogen production facilities around Rostock with the pipeline of the FLOW (East) project, allowing the hydrogen to be transported to demand centres in eastern and southern Germany and CZ.",https://www.doinghydrogen.com/,58351.07365,No,DE,,
50,Nordic-Baltic Hydrogen Corridor - LT section (PCI),AB Amber Grid,New,Transmission,2033,100,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://sites.google.com/view/nordic-baltic-hydrogencorridor/,257113.8279,PCI,LT,,
57,Nordic-Baltic Hydrogen Corridor - LV section,"Conexus Baltic Grid, JSC",New,Transmission,2029,No data available,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://www.conexus.lv/en,121823.5197,PCI,LV,,
58,Nordic-Baltic Hydrogen Corridor - LV section,"Conexus Baltic Grid, JSC",New,Transmission,2033,100,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://sites.google.com/view/nordic-baltic-hydrogencorridor/,144079.2294,PCI,LV,,
59,Nordic-Baltic Hydrogen Corridor - LV section,"Conexus Baltic Grid, JSC",New,Transmission,2033,100,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://sites.google.com/view/nordic-baltic-hydrogencorridor/,180569.7613,PCI,LV,,
60,Nordic-Baltic Hydrogen Corridor - PL section,GAZ-SYSTEM S.A.,New,Transmission,2033,100,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://sites.google.com/view/nordic-baltic-hydrogencorridor/,1129932.649,PCI,PL,,
61,Onesti  - Ungheni corridor modernization for hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2040,No data available,"Onesti - Lecani - Ungheni
",25.3,25.3,The project will include the conversion of existing infrastructure pipeline between Oneti - Lecani - Ungheni,https://www.transgaz.ro/en,296017.7803,No,RO,,
62,Regional cross-border hydrogen network France-Belgium,Fluxys Belgium,Conversion of existing infrastructure,Transmission,2030,No data available,Zomergem-Blaregnies,36,36,"GRTgaz in FR and Fluxys in BE work together towards a cross-border 100% H2 transportation network in Hainaut Region, with 70 km H2 infrastructure connecting various H2 producers and consumers on a non-discriminatory and transparent basis.",https://www.fluxys.com/fr/company/fluxys-belgium,172986.6515,PCI,BE,,
63,Retrofitting of the Bulgarian Gas Transmission System,Bulgartransgaz EAD,Conversion of existing infrastructure,Transmission,2027,10,No data available,5.508,5.508,"The project envisages a preliminary assessment of the compatibility of the network with H2 to formulate specific technical parameters for modification at different levels of mixing of natural gas with H2. 
",https://www.bulgartransgaz.bg/en,,No,BG,,
64,Romania - Serbia Interconnection modernization for  hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2035,No data available,Petrovaselo-Comlou Mare,27.76,27.76,The project will include conversion of existing infrastructure of the Romania - Serbia Interconnection.,No website available,106180.191,No,RO,,
65,Sines H2 Backbone,REN,New,Transmission,2025,No data available,ZILS - Sines Industrial and Logistics Zone - Portugal,No data available,No data available,"Sines H2 Backbone project aims the construction and operationalization of the backbone infrastructure for the transmission, compression, storage and injection of green H2 into gas networks that will serve green H2 producers and consumers in Sines.",https://www.ren.pt/,12830.49565,No,PT,,
66,H2Med-BarMar,Enagás Infraestructuras de Hidrógeno/Terega/Natran/Open Grid Europe,New,Transmission,2032,100,"Barcelona (Spain), Marseille (France)",216,216,"The Hydrogen interconnection project between Spain and France will be ready in 2032, enabling the transport of 2 Mt/y of H2 and contributing to the emergence of one of the major hydrogen import corridors via the Mediterranean",https://h2medproject.com,479869.7912,PCI,ES/FR/DE,,
67,Thyssengas Core Grid,Thyssengas GmbH,Conversion of existing infrastructure,Transmission,2028,100,Vlieghuis to Ochtrup,9,9,The Vlieghuis-Ochtrup project enables the first border crossing point between the Netherlands (import/production) and Germany (consumers) and is part of the GET H2 IPCEI programme. The project consists of about 50 km repurposed natural gas pipelines and ,https://thyssengas.com/en/,101188.0526,PCI,DE,,
75,Route Breclav - CZ/PL Border,"NET4GAS, s.r.o.",Mix,Transmission,2040,100,Breclav - CZ/PL border,No data available,No data available,Route Breclav - CZ/PL Border is considered for the transport of H2 within the framework of the European Hydrogen Backbone (EHB) initiative.,No data available,287246.4083,No,CZ,,
78,Coroi - Medieu Aurit corridor modernization for hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2036,100,Coroi Medieu Aurit,50.6,50.6,The project will include conversion of existing infrastructure of the Coroi Medieu Aurit corridor.,No website available,367230.0959,No,RO,,
79,H2 interconnection Croatia/Slovenia (Luko-Zabok-Rogatec),PLINACRO Ltd.,New,Transmission,2026,100,Luko-Zabok-Rogatec H2 pipeline,160,160,H2 interconnection pipeline Croatia/Slovenia along the route Lucko-Zabok-Rogatec is planned as the new pipeline for the transmission of 100% H2.,https://www.plinacro.hr/,97919.64641,No,HR,,
80,HU hydrogen corridor I HU/UA,FGSZ Ltd.,Conversion of existing infrastructure,Transmission,2040,100,UA/HU border-Beregdaroc-Varosfold; Nemesbikk-Kazincbarcika,150,150,"The project includes repurposing of 7 existing natural gas pipelines in Eastern HU and repurposing 3 existing compressor stations/units or building new compressor units, depending on demand.",https://fgsz.hu/en,182194.8676,No,HU,,
81,Isaccea - Jupa  corridor modernization for hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2040,100,Isaccea - Onesti  - Coroi -  Hateg  - Jupa,No data available,No data available,This project will include conversion of existing pipeline between Isaccea - Onesti  - Coroi - Hateg  - Jupa. The project connects Giurgiu Nadlac corridor and withCoroi Medieu Aurit and Onesti  - Ungheni corridor.,https://www.transgaz.ro/en,700310.0004,No,RO,,
82,Hydrogen Highway - Southern Section,GAZ-SYSTEM S.A.,Mix,Transmission,2039,100,No data available,No data available,No data available,The project involves the construction of a nation-wide H2 grid that connects supply sources such as wind farms in northern PL and on the Baltic Sea with consumption points and industrial clusters located in the South and in other parts of PL.,https://www.gaz-system.pl/en/,1981338.931,No,PL,,
83,FLOW – making hydrogen happen (West) - Conversion,GASCADE Gastransport GmbH and terranets bw,Conversion of existing infrastructure,Transmission,2030,100,"The project connects the Baltic Sea region with AT/FR, for H2 production, transmission and consumption. Mainly repurposed infrastructure is used to transport green H2 from on-/offshore production in the Baltic Sea region to Western EU Countries.",480,480,"FLOW (West) project route : from Radeland in eastern Germany down south to Rueckersdorf, where the route continues to the west to Reckrod, south via Lampertheim to end near Stuttgart, where it will be connected to neighbouring hydrogen transport projects",https://www.flow-hydrogen.com/,1059609.413,No,DE,,
85,H2 supply system Croatia - North,PLINACRO Ltd.,Conversion of existing infrastructure,Transmission,2045,100,Slobodnica - IP Dravaszerdahely,148,148,The project includes repurposing of the existing interconnection for the transport of 100% H2. Part of the European H2 backbone that enables the development of H2 trade with EU's neighbouring countries.,https://www.plinacro.hr/default.aspx?id=246,783742.048,No,HR,,
86,H2 supply system Croatia - South,PLINACRO Ltd.,Conversion of existing infrastructure,Transmission,2045,100,"Bosiljevo - Split
Pula - Rijeka
Rijeka - Karlovac
Zadar - Benkovac",No data available,No data available,"The project includes repurposing of 75 bar system north of Karlovac and the rest of the northern HR, enabling the receiving and transmission of H2 from and to the existing interconnections and larger urban centres.",https://www.plinacro.hr/default.aspx?id=246,637024.2492,No,HR,,
87,Doing Hydrogen,ONTRAS Gastransport GmbH,New,Transmission,2030,100,The DE H2 core grid differs between official project promoters & official contact parties for a project. For further insights check the website of FNB Gas.,No data available,No data available,"EU H2 hub in eastern DE from 2026 and with future links to PL, CZ, DK + western DE.
Together with section ID 33 it represents also the DE part of the Nordic-Baltic Hydrogen Corridor (NBHC). The length of the DE part of the NBHC is 85.3 km (ID 87 and 33)",https://www.doinghydrogen.com/,103643.2762,No,DE,,
88,HU hydrogen corridor V HU/RO,FGSZ Ltd.,New,Transmission,2029,100,Hungary,76.8,76.8,"A new DN800, PN75 bar pipeline between RO/HU border, a new H2 compressor station",https://fgsz.hu/en,178383.9169,No,HU,,
93,NOGAT offshore H2 backbone project,NOGAT B.V.,Conversion of existing infrastructure,Transmission,2028,100,From German offshore border to Den Helder,240,300,The NOGAT pipeline currently transports gas produced offshore but can be repurposed for H2. The pipe can transport between 10-14 GW of offshore wind converted to H2 and is well located to wind areas in DE and DK and in the future also NO.,No data available,516805.2348,No,NL,,
94,NGT offshore H2 backbone project,Noordgastransport B.V. (NGT),Conversion of existing infrastructure,Transmission,2028,100,Offshore from UK border to Uithuizen,240,360,The NGT pipeline currently transports gas but can be repurposed for H2 transport. The pipeline can transport between 12-14 GW of offshore wind converted to H2 and is well located to future wind areas. The NGT system can be connected to the UK.,No data available,526718.8565,No,NL,,
95,H2Pole,"H2Pole, S.L.U. (Reganosa)",New,Transmission,2028,100,"Pipeline from H2Pole plant in As Pontes de García Rodríguez to off-taker factory in Mugardos.
The pipeline will also allow the connection to national natural gas pipeline in 03A posicion in As
Pontes de García Rodríguez & to Spanish Hydrogen Backbone",0.8,1.7,"The project is in As Pontes de García Rodriguez (SP), where 100 MW electrolyser will be operational by 2027 with final production of 14,400 t H2 /y. The project includes the deployment of H2 pipelines for the distribution of H2 to different users.",No data available,51983.71632,No,ES,,
96,FLOW – making hydrogen happen (East),"GASCADE Gastransport GmbH, Ontras GmbH",Conversion of existing infrastructure,Transmission,2030,100,"The project connects the Baltic Sea region with the CZ/PL for H2 production, transmission and consumption. Mainly repurposed infrastructure is used to transport green H2 from on-/offshore production in the Baltic Sea region to Central EU Countries.",480,480,"The FLOW (East) project route runs from Lubmin in the north-east of Germany down to the German-Czech interconnection point ""Deutschneudorf"", where the German and Czech hydrogen networks are connected.",https://www.flow-hydrogen.com/,674998.1387,PCI,DE,,
98,H2 Coastlink 2 | Clean Hydrogen Coastline - H2 Infrastructure (Huntorf-Sandkrug),Gastransport Nord GmbH,Conversion of existing infrastructure,Transmission,2027,100,"H2 Coastlink 2 connects the Huntorf storage facility to Hyperlink, Gasunie Germany’s H2 system. Design of pipeline section is based on the first expansion stage of the Huntorf storage facility and does not serve to develop the entire storage potential.",No data available,No data available,"Connection Sandkrug to Huntorf storage and HyPerLink, Gasunie Germany’s hydrogen system. The design of the pipeline section is based on the first expansion stage of the Huntorf storage facility and does not serve to develop the entire storage potential.",https://gtg-nord.de/en/wasserstoffnetz-en/,28458.77081,No,DE,,
99,H2 Coastlink 1 | Clean Hydrogen Coastline - H2 Infrastructure (Emden-Nuttermoor),Gastransport Nord GmbH,New,Transmission,dec-27,100,Emden,No data available,No data available,"From 2027, H₂Coastlink 1 sub-project connects 320 MWel electrolyser in Emden with Gasunie Germany’s HyPerLink project & H₂Coastlink 3 (formerly GWL). This enables transport of green H2 to hydrogen industry in N- and W Germany & other H2 storages.",https://gtg-nord.de/en/wasserstoffnetz-en/,62791.31061,No,DE,,
102,Alpine H2 Corridor,FluxSwiss,Mix,Transmission,2035,100,This project concerns the construction of a dedicated Swiss hydrogen backbone as part of a 2-way transport corridor from (1) Italy via Switzerland to Germany and from (2) France via Switzerland to Germany. Parallel to the Transitgas pipeline.,684,No data available,A construction of a new H2 pipeline and conversion of existing NG pipelines between Wallbach/Rodersdorf and Gries Pass. Initial supply expected from south to north. Commissioning scheduled for 2035.,No data available,275618.3404,PMI,CH,,
104,H2 capable LNG evacuation pipeline Zlobin-Bosiljevo-Kozarac-Slobodnica,Plinacro Ltd,New,Transmission,2027,No data available,Gas pipeline Zlobin - Bosiljevo Kozarac-Slobodnica jointly with gas pipeline Omisalj-Zlobin makes LNG Main Evacuation Pipeline connecting LNG Krk with Central Eastern European countries.,No data available,No data available,No data available,No data available,456402.4733,No,HR,,
105,H2 Coastlink 3,Gastransport Nord GmbH,Conversion of existing infrastructure,Transmission,2028,100,The Pipeline starts in Sande and runs to the Gasstorage of Nüttermoor and Jemgum.,No data available,No data available,"The H₂Coastlink 3 sub-project consists of the conversion of the 70 km long pipeline from Sande to Jemgum (formerly GWL), the conversion of the Sande grid interconnection point to hydrogen and its connection to the H₂ercules of Open Grid Europe.",No data available,101746.436,No,DE,,
106,Italy-Slovenia-Hungary H2 corridor,PLINOVODI d.o.o.,Mix,Transmission,2029,100,Pipeline from Pince (HU-SI border) to Sempeter (SI-IT border),The increment and peak increment are 60 GWh/day with Italy in both directions and 30 GWh/day with Hungary in both directions (all mentioned capacities available with commissioning year 2035,See increment info above,"Project will establish new supply route for H2 and will connect IT, SI and HU. With this project SI and HU will gain access to North Africa region. Project will establish two new H2 IPs with IT and HU.",No data available,362419.7199,No,SI,,
107,Croatia-Slovenia-Austria H2 corridor,PLINOVODI d.o.o.,Mix,Transmission,2029,100,Pipeline from Cersak (AT-SI border) to Rogatec (SI-HR border),"Phased - increment in year 2029 with AT will be 33 GWh/d (entry) + additional 27 GWh/d in 2035 (entry), together (peak increment) 60 GWh/day in 2035. Exit with AT 60 GWh/d in 2035. Incr. and peak increment with HR will be 60 GWh/d in 2035 both directions",See increment info above,The project involves repurposing of an existing natural gas pipeline for the use of pure hydrogen or hydrogen blends while maintaining a parallel pipeline for natural gas only. The project is crucial for the national transit and supply of hydrogen.,No data available,79867.37751,No,SI,,
109,HyONE Network NL,N.V. Nederlandse Gasunie,New,Transmission,2031,100,North Sea & Netherlands,309,541.5,"HyONE is the offshore hydrogen pipeline infrastructure collecting clean hydrogen from offshore windfarms, combined with imports of hydrogen from Norway and Denmark, exporting this to the onshore network to reach demand centers in NL, DE and BE.",No data available,756896.2384,No,NL,,
110,Aukra H2 Pipeline,"A/S Norske Shell (coordinator), Aker Horizons AS, CapeOmega AS and Gassco AS",New,Transmission,2030,100,Aukra,46,48,Aukra H2 Pipeline will develop an offshore export pipeline for the hydrogen volumes from Aukra H2 facilities at Nyhamna in Norway to European consumers by 2030. The pipeline will tie-in to a connection of Gassco and Equinor's CHE H2pipeline,https://akerhorizons.com/what-we-do/aukra/,737338.4216,No,NO,,
